Full Name,1990,2005,2022,province
Alberta (AB),177.2,251.1,269.9,AB
Ontario (ON),178.4,203,157,ON
Quebec (QC),84.4,85.6,79.1,QC
Saskatchewan (SK),49,80.5,75.9,SK
British Columbia (BC),51.1,62.7,64.3,BC
Manitoba (MB),18.2,20.6,21.6,MB
Nova Scotia (NS),19.6,22.8,14.8,NS
New Brunswick (NB),16.2,20.1,12.5,NB
Newfoundland and Labrador (NL),9.5,10.3,8.6,NL
Prince Edward Island (PE),1.8,1.9,1.6,PE
Northwest Territories (NT),1.8,1.7,1.4,NT
Yukon (YT),0.5,0.6,0.7,YT
Nunavut (NU)*,-,0.6,0.6,NU
